engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;6;LI;26;26;0;0;0,001207;0,000021;0,001162;0,00239
xdevs-rs-no_std-f64;7;LI;26;26;0;0;0,001207;0,000022;0,001162;0,002391
xdevs-rs-no_std-f64;8;LI;26;26;0;0;0,001207;0,000022;0,001162;0,002391
xdevs-rs-no_std-f64;9;LI;26;26;0;0;0,001208;0,000022;0,001162;0,002392
xdevs-rs-no_std-f64;0;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;1;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;2;LI;28;28;0;0;0,001342;0,000024;0,001317;0,002683
xdevs-rs-no_std-f64;3;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;4;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;5;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;6;LI;28;28;0;0;0,001342;0,000024;0,001317;0,002683
xdevs-rs-no_std-f64;7;LI;28;28;0;0;0,001343;0,000024;0,001317;0,002684
xdevs-rs-no_std-f64;8;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;9;LI;28;28;0;0;0,001342;0,000024;0,001318;0,002684
xdevs-rs-no_std-f64;0;LI;30;30;0;0;0,001518;0,000025;0,001496;0,003039
xdevs-rs-no_std-f64;1;LI;30;30;0;0;0,001518;0,000024;0,001496;0,003038
xdevs-rs-no_std-f64;2;LI;30;30;0;0;0,001518;0,000024;0,001496;0,003038
xdevs-rs-no_std-f64;3;LI;30;30;0;0;0,001518;0,000025;0,001496;0,003039
xdevs-rs-no_std-f64;4;LI;30;30;0;0;0,001518;0,000025;0,001496;0,003039
xdevs-rs-no_std-f64;5;LI;30;30;0;0;0,001518;0,000025;0,001496;0,003039
xdevs-rs-no_std-f64;6;LI;30;30;0;0;0,001518;0,000025;0,001495;0,003038
xdevs-rs-no_std-f64;7;LI;30;30;0;0;0,001518;0,000025;0,001496;0,003039
xdevs-rs-no_std-f64;8;LI;30;30;0;0;0,001519;0,000025;0,001495;0,003039
xdevs-rs-no_std-f64;9;LI;30;30;0;0;0,001518;0,000025;0,001495;0,003038
